openalex_id,doi,title,year,journal,source_type,work_type,cited_by_count,is_oa,abstract
https://openalex.org/W145355760,,"From Industrial Garden to Food Desert: Unearthing the Root Structure of Urban Agriculture in Oakland, California",2008,eScholarship (California Digital Library),repository,article,33,TRUE,"In this paper, I use a framework of urban political ecology to explore the rise of urban agriculture (UA) in Oakland, California. As part of a growing effort to reduce its âecological footprintâ and to guarantee access to nutritious food for the urban poor, the City of Oakland has recently embraced a goal of sourcing 30 percent of its food locally, a modest amount of which should come from UA. Many of these small gardens and farms are to be located in so-called âfood deserts,â low-income areas far from supermarkets, in the Oakland flatlands in order to provide access to fresh food as well as ecological and culinary knowledge to participants and customers. Recent critiques of some food justice initiatives, including urban garden programs, have argued that such projects are neoliberal in nature, emphasizing entrepreneurialism and self-betterment while filling in gaps left by the rolling back of the state. In this paper, I argue that a macro-level structural analysis of Oaklandâs history reveals the emancipatory role of UA. I demonstrate how flows of industrial capital and racialized urban planning throughout the 20th century concentrated the devaluation of capital to the flatlands, ultimately giving rise to food deserts. Following the logic of what Karl Polanyi referred to as capitalismâs âdouble movement,â food justice activists are mobilizing through UA to counter capitalâs uneven transformation of the flatlands."
https://openalex.org/W1467855967,,Ethical consumption in Chile and Brazil,2012,OpenDocs (Institute of Development Studies),repository,article,0,TRUE,"Ariztia presented the first findings of an ongoing multi-national research project&#13;\n‘Sustainable Choices’. Chile and Brazil are former developing countries which now have&#13;\ngrowing ethical consumption movements. Ethical consumption, i.e., a form of&#13;\nconsumption in which consumers use their buying power to effect social and proenvironmental&#13;\nchange, is a growing trend in income-rich countries. This leverage can be&#13;\neven more powerfully used through public procurement, where the state buys goods and&#13;\nservices in the name of taxpayers.&#13;\nAriztia, Kleine, Brightwell, Agloni and Afonso analyzed the trends in ethical consumption&#13;\nand the criteria used in public procurement systems in Chile and Brazil. Against this backdrop, Ariztia discussed the outcomes of the first stage of the project: an extensive&#13;\nliterature review of the developing trend towards “ethical”, “sustainable” and “conscious”&#13;\nconsumption in Chile and Brazil. More specifically he focused on presenting the different&#13;\ninstitutional context which has supported the nascent movement of ethical consumption&#13;\nin these two countries. He argued that in order to better understand ethical consumption,&#13;\none must analyze the context-specific discourses and institutions in which it is&#13;\nembedded.&#13;\nChile works as a case in which ethical consumption discourses and practices are&#13;\nconfronted by a neoliberal institutional setting. Brazil, on the other hand, provides also a&#13;\nvery interesting case for studying how ethical consumption is localized within Latin&#13;\nAmerica: it has the size to create its own rules, and is currently run by consecutive&#13;\ncenter-left government. Brazil has institutional space for “light-red” experimentation&#13;\nwithin the capitalist framework.&#13;\nWhile in both countries there is a drive toward a green agenda in which ethical&#13;\nconsumption is being increasingly valued, Ariztia argues that both countries shows&#13;\ndifferent paths of the ethical consumption trend in terms of their institutional and&#13;\nhistorical background. In one case ethical consumption has arisen from market driven&#13;\nforces such as companies, consultancies and citizen organizations. In the case of Brazil,&#13;\nits developments seems to be much more connected with efforts emanating from the&#13;\nstate to actively encourage and incorporate alternative consumption and economic&#13;\nmovements such as “Economia Solidaria”. Ariztia argues that these two cases involve&#13;\ndifferent interpretations of the state-market relationship and the role that ethical&#13;\nconsumption might play within it."
https://openalex.org/W147127987,10.5195/jwsr.2015.529,"Breaking Ships in the World-System: An Analysis of Two Ship Breaking Capitals, Alang-Sosiya, India and Chittagong, Bangladesh",2015,Journal of World-Systems Research,journal,article,53,TRUE,"Centrality in the world-system allows countries to externalize their hazards or environmental harms on others. Core countries, for instance, dump heavy metals and greenhouse gases into the global sinks, and some of the core's hazardous products, production processes and wastes are displaced to the (semi) peripheral zones of the world-system. Since few (semi) peripheral countries have the ability to assess and manage the risks associated with such hazards, the transfer of core hazards to the (semi) periphery has adverse environmental and socio-economic consequences for many of these countries and it has spawned conflict and resistance, as well as a variety of other responses. Most discussions of this risk globalization problem have failed to situate it firmly in the world-system frame emphasizing the process of ecological unequal exchange. Using secondary sources, I begin such a discussion by examining the specific problem of ship breaking (recycling core-based ocean going vessels for steel and other materials) at the yards in Alang-Sosiya, India and Chittagong, Bangladesh. Attention centers on the nature and scope of ship breaking in these two locations, major drivers operating in the world-system, adverse consequences, the unequal mix of costs and benefits, and the failure of existing political responses at the domestic and international levels to reduce adequately the adverse consequences of ship breaking."
https://openalex.org/W1471822320,10.1016/j.erss.2015.08.026,"Ambivalence, designing users and user imaginaries in the European smart grid: Insights from an interdisciplinary demonstration project",2015,Energy Research & Social Science,journal,article,92,FALSE,
https://openalex.org/W147280868,,Too 'High' Tech: Metonymical Fallacies and Fetishism in the Perception of Technology,2011,Purdue e-Pubs (Purdue University System),repository,article,2,TRUE,"This paper suggests that technology is excessively ‘high’ in two senses. The first sense refers to a high level of logical or grammatical abstraction: artifacts and machines are designated (in medias, everyday and scientific discourses) as ‘technology’, a word that etymologically refers to the knowledge surrounding those artifacts. Following the Logical Types Theory, the fact of designating concrete artifacts with the level of abstraction which corresponds to the totality containing those artifacts, leads us into metonymical or “vicious circle fallacies” (Whitehead & Russell, 1962). The second sense of ‘highness’ is symbolic. Recent works on Anthropology of Technology show that machines are often perceived with a fetishistic regard. The most sophisticated innovations, in spite of being perceived as mere instruments, are raised to the symbolical status of mystical objects, or even treated as subjects. Here I will argue that this logical and symbolical ‘highness’ could reveal an implicit devotion towards modern technology."
https://openalex.org/W1481167366,10.1111/1468-2427.12077,‘Give Me a Laboratory and <scp>I</scp> Will Lower Your Carbon Footprint!’ — Urban Laboratories and the Governance of Low‐Carbon Futures,2013,International Journal of Urban and Regional Research,journal,article,356,TRUE,"Abstract The increasing threat of climate change has created a pressing need for cities to lower their carbon footprints. Urban laboratories are emerging in numerous cities around the world as a strategy for local governments to partner with public and private property owners to reduce carbon emissions, while simultaneously stimulating economic growth. In this article, we use insights from laboratory studies to analyse the notion of urban laboratories as they relate to experimental governance, the carbonization agenda and the transition to low‐carbon economies. We present a case study of the O xford Road corridor in M anchester in the UK that is emerging as a low‐carbon urban laboratory, with important policy implications for the city's future. The corridor is a bounded space where a public‐private partnership comprised of the City Council, two universities and other large property owners is redeveloping the physical infrastructure and installing monitoring equipment to create a recursive feedback loop intended to facilitate adaptive learning. This low‐carbon urban laboratory represents a classic sustainable development formula for coupling environmental protection with economic growth, using innovation and partnership as principal drivers. However, it also has significant implications in reworking the interplay of knowledge production and local governance, while reinforcing spatial differentiation and uneven participation in urban development."
https://openalex.org/W1481767750,10.2753/ijs0020-7659400201,The Paradox at the Heart of Modernity,2010,International Journal of Sociology,journal,article,47,FALSE,"As the threat of global climate change grows increasingly dire, we are faced with the challenge of reducing carbon dioxide (CO2) (the leading greenhouse gas) emissions to the atmosphere. There is much debate about what are the most effective strategies for meeting this challenge. In this debate, one prominent question centers on whether reducing the carbon intensity of the economy (CO2 emissions per dollar of gross domestic product) will help reduce total CO2 emissions. Some argue that improvements in the carbon efficiency of the economy will allow us to reduce CO2 emissions even in the face of economic growth. Others suggest that improving carbon efficiency may not only be insufficient to counter the effects of economic growth, it may actually spur the expansion of production and consumption, and thereby lead to an escalation of CO2 emissions. Here, I address this issue by examining trends in carbon intensity and total CO2 emissions in the world as a whole and in the five nations that emit the most CO2: China, the United States, Russia, India, and Japan. I find that in recent years the carbon intensity of the world as a whole and in these major emitters has generally declined (i.e., carbon efficiency has improved), yet total emissions have generally risen. This suggests that improving efficiency is unlikely to reduce total CO2 emissions. Therefore, in order to reduce CO2 emissions it will likely be necessary to challenge the growth ideology common to the modern era and shift societies to economic systems that are not dependent on growth."
https://openalex.org/W1481935167,,Barriers to Sustainability: A Qualitative Cross-National Comparison,2013,Scholars' Bank (University of Oregon),repository,dissertation,10,TRUE,"In this dissertation, I make an argument for strong sustainability, which emphasizes environmental and social justice concerns, by distinguishing it from weak sustainability. I critique the global neoliberal sustainable development project, a weak form of sustainability that prioritizes economic growth, using Marx's theory of metabolic rift. However, I find this theory lacking in its ability to engage forms of oppression outside of class, such as gender. Because of this, I employ theories on gender and environment and environmental justice to explore systemic and cultural aspects of oppression. I use qualitative cross-national comparative methods to examine two alternatives to neoliberal sustainable development. The two cases working toward strong sustainability are an urban ecovillage in the United States and an urban farm in Havana, Cuba. I assess the viability of these projects and their strengths and weaknesses toward a rigorous theory of strong sustainability. &#13;\n&#13;\nI find that the structure of society matters in determining the opportunities for equity and sustainability projects. As postulated by metabolic rift theory, my cases suggest that capitalism is a structural barrier to sustainability, but eliminating capitalism is an insufficient condition for nations attempting to attain equity or environmental protection. While structural change is necessary, any discussion of structural power dynamics that fails to consider real people embedded in on-the-ground social power dynamics would be incomplete. Specifically, I find that in Cuba--a nation where capitalism was disbanded over fifty years ago in favor of more equal economic relations--gender equity is limited by cultural expectations of gender roles and government suppression of democratic processes. &#13;\n&#13;\nMy findings suggest that if the goal is to create socially just environmental change, it must be done deliberately. The instituting of laws is important but insufficient because cultural factors may restrict minorities' participation in democratic processes. Inequality and disregard for the environment are culturally entrenched social processes that must be addressed simultaneously and with specialized attention in order for lasting change to occur. Goals toward economic restructuring, equality, and environmental reform should be methodically phased in with constant democratic discussion and progress assessment. &#13;\n&#13;\nThis dissertation contains previously published and unpublished co-authored material."
https://openalex.org/W1489802847,10.1002/sd.1533,Sustainability Through Design Science: Re‐Imagining Option Spaces Beyond Eco‐Efficiency,2012,Sustainable Development,journal,article,19,TRUE,"ABSTRACT Ecological resource efficiency, implemented as a market mechanism within a neoclassical economy, shoulders the burden of providing a worldview for sustainable development: continuous GDP growth to provide for the expansion of human needs, and dematerialization through resource efficiency to accommodate ecological limits. However, resource efficiency does not equal resource conservation. Empirical evidence confirms that the emergent rebound effects of efficiency gains overpower their first‐order intention, creating counterintuitive feedback effects at larger scales. Backfire, the collective product of individual scale resource efficiencies, is little recognized as a key driver of resource depletion. However, the acknowledgement of rebound effects as emergent properties of eco‐efficiency systems also opens an opportunity space. This paper introduces the paradigm of design science for sustainable development, a qualitatively different epistemology in which the emergent effects of throughput growth and social rebound are collectively negotiated within a sustainable area budget . Multiple‐alternative scenario building within this budget outlines a process within which emergent properties are negotiated relative to the resilience of social and ecological systems. Design science provides the crucial outlines for the negotiation of a common future inscribed within ecological limits. Copyright © 2012 John Wiley &amp; Sons, Ltd and ERP Environment."
https://openalex.org/W1493162510,,Dublin at the Crossroads: Exploring the Future of the Dublin City Region,2009,Arrow@dit (Dublin Institute of Technology),repository,article,2,TRUE,
