openalex_id,query_label
https://openalex.org/W1883711700,Q1_tech_material
https://openalex.org/W1884151426,S6_stirpat
https://openalex.org/W1894507421,snowball_Borup_2006
https://openalex.org/W1895451490,snowball_Jorgenson_2012
https://openalex.org/W1896635809,snowball_Mol_2000
https://openalex.org/W189814497,snowball_Hornborg_2001
https://openalex.org/W1900910987,snowball_Jorgenson_2012
https://openalex.org/W1900910987,snowball_Schnaiberg_1980
https://openalex.org/W1901551613,snowball_York_2003
https://openalex.org/W1902818475,S4_climate_movements
https://openalex.org/W1914034541,snowball_Mol_2000
https://openalex.org/W1915344498,Q1_tech_material
https://openalex.org/W1915344498,Q1b_tech_specific
https://openalex.org/W1919476101,Q2_displacement
https://openalex.org/W1919782393,snowball_Schnaiberg_1980
https://openalex.org/W1921183857,S4_climate_movements
https://openalex.org/W1921646761,snowball_Schnaiberg_1980
https://openalex.org/W1926339253,snowball_Schnaiberg_1980
https://openalex.org/W1946138591,snowball_Borup_2006
https://openalex.org/W1947069753,S4_climate_movements
https://openalex.org/W1951735039,S1_econ_complexity
https://openalex.org/W1954479716,S6_stirpat
https://openalex.org/W1956615754,snowball_Jorgenson_2012
https://openalex.org/W1963985712,snowball_Hornborg_2001
https://openalex.org/W1964181949,snowball_Mol_2000
https://openalex.org/W1964302596,snowball_Mol_2000
https://openalex.org/W1964337509,snowball_Schnaiberg_1980
https://openalex.org/W1964426013,snowball_Borup_2006
https://openalex.org/W1964734085,snowball_Hornborg_2001
https://openalex.org/W1965080111,snowball_Borup_2006
https://openalex.org/W1965544356,snowball_Schnaiberg_1980
https://openalex.org/W1965858356,S1_econ_complexity
https://openalex.org/W1965983703,S2_green_degrowth
https://openalex.org/W1966458983,snowball_Schnaiberg_1980
https://openalex.org/W1966605003,snowball_Hornborg_2001
https://openalex.org/W1967094530,snowball_Mol_2000
https://openalex.org/W1967879531,snowball_Jorgenson_2012
https://openalex.org/W1967944648,snowball_York_2003
https://openalex.org/W1968305520,snowball_Hornborg_2001
https://openalex.org/W1968441806,snowball_Hornborg_2001
https://openalex.org/W1968571633,snowball_Mol_2000
https://openalex.org/W1968966586,snowball_Borup_2006
https://openalex.org/W1969030634,snowball_York_2003
https://openalex.org/W1969406214,snowball_Schnaiberg_1980
https://openalex.org/W1969554203,snowball_Hornborg_2001
https://openalex.org/W1969838726,snowball_Hornborg_2001
https://openalex.org/W1971980919,snowball_Borup_2006
https://openalex.org/W1973204257,snowball_Mol_2000
https://openalex.org/W1973612113,S6_stirpat
https://openalex.org/W1973612113,snowball_York_2003
https://openalex.org/W1973845023,snowball_York_2003
