citing_id,cited_id
https://openalex.org/W1530485991,https://openalex.org/W2153920784
https://openalex.org/W1532569068,https://openalex.org/W1572762085
https://openalex.org/W1535268969,https://openalex.org/W1572762085
https://openalex.org/W1535268969,https://openalex.org/W1976854836
https://openalex.org/W1535268969,https://openalex.org/W1998832896
https://openalex.org/W1535268969,https://openalex.org/W2000568622
https://openalex.org/W1535268969,https://openalex.org/W2045488269
https://openalex.org/W1535268969,https://openalex.org/W2080458794
https://openalex.org/W1535268969,https://openalex.org/W2096565435
https://openalex.org/W1535268969,https://openalex.org/W2103238592
https://openalex.org/W1535268969,https://openalex.org/W2131621631
https://openalex.org/W1535268969,https://openalex.org/W2153920784
https://openalex.org/W1535268969,https://openalex.org/W2169385286
https://openalex.org/W1535268969,https://openalex.org/W2187284945
https://openalex.org/W1546954817,https://openalex.org/W1572762085
https://openalex.org/W1546962772,https://openalex.org/W651598703
https://openalex.org/W1547908879,https://openalex.org/W1572762085
https://openalex.org/W1547908879,https://openalex.org/W2045488269
https://openalex.org/W1547908879,https://openalex.org/W2080534773
https://openalex.org/W1552574426,https://openalex.org/W651598703
https://openalex.org/W1552574426,https://openalex.org/W1966605003
https://openalex.org/W1552574426,https://openalex.org/W1983784355
https://openalex.org/W1552574426,https://openalex.org/W2068618987
https://openalex.org/W1552574426,https://openalex.org/W2069885397
https://openalex.org/W1560509817,https://openalex.org/W1572762085
https://openalex.org/W1562678381,https://openalex.org/W1572762085
https://openalex.org/W1562678381,https://openalex.org/W1983784355
https://openalex.org/W1562678381,https://openalex.org/W2080534773
https://openalex.org/W1562678381,https://openalex.org/W2131554966
https://openalex.org/W1562678381,https://openalex.org/W2166039504
https://openalex.org/W1568830862,https://openalex.org/W1562678381
https://openalex.org/W1568830862,https://openalex.org/W1983784355
https://openalex.org/W1568830862,https://openalex.org/W2131554966
https://openalex.org/W1568830862,https://openalex.org/W2166039504
https://openalex.org/W1568830862,https://openalex.org/W2484271127
https://openalex.org/W1575950587,https://openalex.org/W1562678381
https://openalex.org/W1575950587,https://openalex.org/W1572762085
https://openalex.org/W1575950587,https://openalex.org/W1978091839
https://openalex.org/W1575950587,https://openalex.org/W1991460461
https://openalex.org/W1575950587,https://openalex.org/W2068618987
https://openalex.org/W1575950587,https://openalex.org/W2071762763
https://openalex.org/W1575950587,https://openalex.org/W2103134620
https://openalex.org/W1575950587,https://openalex.org/W2133370741
https://openalex.org/W1575950587,https://openalex.org/W2148645770
https://openalex.org/W1575950587,https://openalex.org/W2166039504
https://openalex.org/W1575950587,https://openalex.org/W2243371407
https://openalex.org/W1575950587,https://openalex.org/W2333552092
https://openalex.org/W1576125181,https://openalex.org/W651598703
https://openalex.org/W1576125181,https://openalex.org/W2166039504
https://openalex.org/W1578700276,https://openalex.org/W1562678381
https://openalex.org/W1578700276,https://openalex.org/W1572762085
https://openalex.org/W1578700276,https://openalex.org/W2153920784
https://openalex.org/W1578700276,https://openalex.org/W4300667344
https://openalex.org/W1580172778,https://openalex.org/W2049941951
https://openalex.org/W1583281968,https://openalex.org/W1572762085
https://openalex.org/W1583281968,https://openalex.org/W2107349476
https://openalex.org/W1583281968,https://openalex.org/W2243371407
https://openalex.org/W1583340810,https://openalex.org/W1481767750
https://openalex.org/W1583340810,https://openalex.org/W1530485991
https://openalex.org/W1583340810,https://openalex.org/W1572762085
https://openalex.org/W1583340810,https://openalex.org/W1969030634
https://openalex.org/W1583340810,https://openalex.org/W1983784355
https://openalex.org/W1583340810,https://openalex.org/W2000568622
https://openalex.org/W1583340810,https://openalex.org/W2014677709
https://openalex.org/W1583340810,https://openalex.org/W2037544095
https://openalex.org/W1583340810,https://openalex.org/W2040342446
https://openalex.org/W1583340810,https://openalex.org/W2045335313
https://openalex.org/W1583340810,https://openalex.org/W2045488269
https://openalex.org/W1583340810,https://openalex.org/W2056286657
https://openalex.org/W1583340810,https://openalex.org/W2071762763
https://openalex.org/W1583340810,https://openalex.org/W2079247362
https://openalex.org/W1583340810,https://openalex.org/W2088170836
https://openalex.org/W1583340810,https://openalex.org/W2096565435
https://openalex.org/W1583340810,https://openalex.org/W2108276321
https://openalex.org/W1583340810,https://openalex.org/W2121548641
https://openalex.org/W1583340810,https://openalex.org/W2133370741
https://openalex.org/W1583340810,https://openalex.org/W2138107144
https://openalex.org/W1583340810,https://openalex.org/W2147625908
https://openalex.org/W1583340810,https://openalex.org/W2153920784
https://openalex.org/W1583340810,https://openalex.org/W2182654917
https://openalex.org/W1583340810,https://openalex.org/W2201508122
https://openalex.org/W159092612,https://openalex.org/W2069332984
https://openalex.org/W159092612,https://openalex.org/W2119211517
https://openalex.org/W159092612,https://openalex.org/W2160451922
https://openalex.org/W1591353412,https://openalex.org/W651598703
https://openalex.org/W1600478110,https://openalex.org/W1562678381
https://openalex.org/W1600478110,https://openalex.org/W1964337509
https://openalex.org/W1600478110,https://openalex.org/W2020743501
https://openalex.org/W1600478110,https://openalex.org/W2133370741
https://openalex.org/W1602318627,https://openalex.org/W1504658872
https://openalex.org/W1602318627,https://openalex.org/W1562678381
https://openalex.org/W1602318627,https://openalex.org/W1572762085
https://openalex.org/W1602318627,https://openalex.org/W2001673222
https://openalex.org/W1602318627,https://openalex.org/W2016927174
https://openalex.org/W1602318627,https://openalex.org/W2030793277
https://openalex.org/W1602318627,https://openalex.org/W2035939663
https://openalex.org/W1602318627,https://openalex.org/W2037088854
https://openalex.org/W1602318627,https://openalex.org/W2057810683
https://openalex.org/W1602318627,https://openalex.org/W2061046454
https://openalex.org/W1602318627,https://openalex.org/W2066578095
https://openalex.org/W1602318627,https://openalex.org/W2069885397
https://openalex.org/W1602318627,https://openalex.org/W2096565435
https://openalex.org/W1602318627,https://openalex.org/W2115328246
https://openalex.org/W1602318627,https://openalex.org/W2243371407
https://openalex.org/W1616101857,https://openalex.org/W1504658872
https://openalex.org/W1616101857,https://openalex.org/W1919782393
https://openalex.org/W1616101857,https://openalex.org/W1967879531
https://openalex.org/W1616101857,https://openalex.org/W2037088854
https://openalex.org/W1616101857,https://openalex.org/W2040342446
https://openalex.org/W1616101857,https://openalex.org/W2057810683
https://openalex.org/W1616101857,https://openalex.org/W2061046454
https://openalex.org/W1616101857,https://openalex.org/W2113153173
https://openalex.org/W1616101857,https://openalex.org/W2115328246
https://openalex.org/W1616101857,https://openalex.org/W2119211517
https://openalex.org/W1616101857,https://openalex.org/W2143917121
https://openalex.org/W1616101857,https://openalex.org/W2182089091
https://openalex.org/W1616101857,https://openalex.org/W2201508122
https://openalex.org/W1619358528,https://openalex.org/W1562678381
https://openalex.org/W1626762580,https://openalex.org/W2020935901
https://openalex.org/W1626762580,https://openalex.org/W4385886475
